"event","team","time","description","event_no","period_id","desc","on_ice_situation","shot_type","shot_result","penalty_type","penalty_called","penalty_length","penalty","score","first_player","first_number","second_player","second_number","third_player","third_number","minute_start","second_start","clock","offensive_player_one","offensive_number_one","offensive_player_two","offensive_number_two","offensive_player_three","offensive_number_three","offensive_player_four","offensive_number_four","offensive_player_five","offensive_number_five","leader","away_goals","home_goals","sec_from_start","power_play_seconds","start_power_play","end_power_play","away_team","home_team","goalie_change","away_goalie","home_goalie","goalie_involved","time_elapsed","time_remaining","game_id"
"Shot","ConnecticutCTW","00:53","#4 Taylor Marchin saved by #37 Mariah Fujimagari",45,2,"4 Taylor Marchin   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Taylor Marchin",4,"Mariah Fujimagari",37,NA,NA,0,53,"19:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1253,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","00:53","19:07",268078
"Faceoff","BuffaloBUF","00:53","#17 Cassidy MacPherson faceoff won against #21 Sarah Schwenzfeier",46,2,"17 Cassidy MacPherson   21 Sarah Schwenzfeier","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Cassidy MacPherson",17,"Sarah Schwenzfeier",21,NA,NA,0,53,"19:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1253,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"00:53","19:07",268078
"Shot","BuffaloBUF","01:19","#17 Cassidy MacPherson saved by #31 Sonjia Shelly",47,2,"17 Cassidy MacPherson   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Cassidy MacPherson",17,"Sonjia Shelly",31,NA,NA,1,19,"18:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1279,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","01:19","18:41",268078
"Faceoff","ConnecticutCTW","01:19","#21 Sarah Schwenzfeier faceoff won against #17 Cassidy MacPherson",48,2,"21 Sarah Schwenzfeier   17 Cassidy MacPherson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Sarah Schwenzfeier",21,"Cassidy MacPherson",17,NA,NA,1,19,"18:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1279,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"01:19","18:41",268078
"Giveaway","ConnecticutCTW","01:30","#26 Jordan Brickner giveaway to #17 Cassidy MacPherson1 GvA1 TkA",49,2,"26 Jordan Brickner   17 Cassidy MacPherson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Jordan Brickner",26,"Cassidy MacPherson",17,NA,NA,1,30,"18:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1290,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"01:30","18:30",268078
"Shot","ConnecticutCTW","02:01","#12 Kendra Broad saved by #37 Mariah Fujimagari",50,2,"12 Kendra Broad   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Kendra Broad",12,"Mariah Fujimagari",37,NA,NA,2,1,"17:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1321,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","02:01","17:59",268078
"Faceoff","ConnecticutCTW","02:01","#16 Hanna Beattie faceoff won against #88 Sara Bustad",51,2,"16 Hanna Beattie   88 Sara Bustad","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Hanna Beattie",16,"Sara Bustad",88,NA,NA,2,1,"17:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1321,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:01","17:59",268078
"Giveaway","BuffaloBUF","02:02","#88 Sara Bustad giveaway to #8 Erin Hall1 GvA1 TkA",52,2,"88 Sara Bustad   8 Erin Hall","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Sara Bustad",88,"Erin Hall",8,NA,NA,2,2,"17:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1322,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:02","17:58",268078
"Giveaway","BuffaloBUF","02:11","#15 Kandice Sheriff giveaway to #8 Erin Hall1 GvA2 TkA",53,2,"15 Kice Sheriff   8 Erin Hall","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Kice Sheriff",15,"Erin Hall",8,NA,NA,2,11,"17:49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1331,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:11","17:49",268078
"Giveaway","BuffaloBUF","02:35","#88 Sara Bustad giveaway to #6 Shannon Doyle2 GvA2 TkA",54,2,"88 Sara Bustad   6 Shannon Doyle","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Sara Bustad",88,"Shannon Doyle",6,NA,NA,2,35,"17:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1355,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:35","17:25",268078
"Faceoff","BuffaloBUF","02:52","#22 Becki Bowering faceoff won against #15 Emma Vlasic",55,2,"22 Becki Bowering   15 Emma Vlasic","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Becki Bowering",22,"Emma Vlasic",15,NA,NA,2,52,"17:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1372,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:52","17:08",268078
"Shot","ConnecticutCTW","02:53","#16 Hanna Beattie saved by #37 Mariah Fujimagari",56,2,"16 Hanna Beattie   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Hanna Beattie",16,"Mariah Fujimagari",37,NA,NA,2,53,"17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1373,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","02:53","17:07",268078
"Shot","BuffaloBUF","03:26","#22 Becki Bowering saved by #31 Sonjia Shelly",57,2,"22 Becki Bowering   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Becki Bowering",22,"Sonjia Shelly",31,NA,NA,3,26,"16:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1406,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","03:26","16:34",268078
"Giveaway","BuffaloBUF","03:57","#4 Marie-Jo Pelletier giveaway to #94 Grace Klienbach2 GvA1 TkA",58,2,"4 Marie-Jo Pelletier   94 Grace Klienbach","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Marie-Jo Pelletier",4,"Grace Klienbach",94,NA,NA,3,57,"16:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1437,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"03:57","16:03",268078
"Shot","BuffaloBUF","04:36","#8 Iveta Klimasova saved by #31 Sonjia Shelly",59,2,"8 Iveta Klimasova   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Iveta Klimasova",8,"Sonjia Shelly",31,NA,NA,4,36,"15:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1476,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","04:36","15:24",268078
"Shot","ConnecticutCTW","05:34","#9 Kaycie Anderson saved by #37 Mariah Fujimagari",60,2,"9 Kaycie Anderson   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Kaycie Anderson",9,"Mariah Fujimagari",37,NA,NA,5,34,"14:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1534,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","05:34","14:26",268078
"Faceoff","ConnecticutCTW","06:38","#15 Emma Vlasic faceoff won against #17 Cassidy MacPherson",61,2,"15 Emma Vlasic   17 Cassidy MacPherson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Emma Vlasic",15,"Cassidy MacPherson",17,NA,NA,6,38,"13:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1598,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"06:38","13:22",268078
"Faceoff","BuffaloBUF","06:46","#17 Cassidy MacPherson faceoff won against #15 Emma Vlasic",62,2,"17 Cassidy MacPherson   15 Emma Vlasic","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Cassidy MacPherson",17,"Emma Vlasic",15,NA,NA,6,46,"13:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1606,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"06:46","13:14",268078
"Shot","ConnecticutCTW","06:48","#6 Shannon Doyle saved by #37 Mariah Fujimagari",63,2,"6 Shannon Doyle   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Shannon Doyle",6,"Mariah Fujimagari",37,NA,NA,6,48,"13:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1608,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","06:48","13:12",268078
"Faceoff","ConnecticutCTW","07:02","#7 Jane Morrisette faceoff won against #17 Cassidy MacPherson",64,2,"7 Jane Morrisette   17 Cassidy MacPherson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Jane Morrisette",7,"Cassidy MacPherson",17,NA,NA,7,2,"12:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1622,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"07:02","12:58",268078
"Faceoff","BuffaloBUF","08:24","#22 Becki Bowering faceoff won against #16 Hanna Beattie",65,2,"22 Becki Bowering   16 Hanna Beattie","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Becki Bowering",22,"Hanna Beattie",16,NA,NA,8,24,"11:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1704,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"08:24","11:36",268078
"Shot","BuffaloBUF","08:40","#22 Becki Bowering saved by #31 Sonjia Shelly",66,2,"22 Becki Bowering   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Becki Bowering",22,"Sonjia Shelly",31,NA,NA,8,40,"11:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1720,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","08:40","11:20",268078
"Shot","BuffaloBUF","08:50","#12 Ana Orzechowski saved by #31 Sonjia Shelly",67,2,"12 Ana Orzechowski   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Ana Orzechowski",12,"Sonjia Shelly",31,NA,NA,8,50,"11:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1730,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","08:50","11:10",268078
"Shot","ConnecticutCTW","09:47","#26 Jordan Brickner saved by #37 Mariah Fujimagari",68,2,"26 Jordan Brickner   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Jordan Brickner",26,"Mariah Fujimagari",37,NA,NA,9,47,"10:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1787,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","09:47","10:13",268078
"Faceoff","ConnecticutCTW","09:59","#15 Emma Vlasic faceoff won against #17 Cassidy MacPherson",69,2,"15 Emma Vlasic   17 Cassidy MacPherson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Emma Vlasic",15,"Cassidy MacPherson",17,NA,NA,9,59,"10:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",1799,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"09:59","10:01",268078
"Goal","ConnecticutCTW","10:17","#94 Grace Klienbach from #24 Sarah Hughson and #14 Elena OrlandoSnap shotEven Strength1 - 1 Tie",70,2,"94 Grace Klienbach  24 Sarah Hughson  14 Elena Orloie","Even Strength","Snap shot","made",NA,NA,NA,0,"1 - 1 T","Grace Klienbach",94,"Sarah Hughson",24,"Elena Orloie",14,10,17,"9:43","Emma Vlasic","15","Elena Orlando","14","Grace Klienbach","94","Sarah Hughson","24","Jordan Brickner","26","T","1","1 ",1817,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","10:17","9:43",268078
"Faceoff","ConnecticutCTW","10:37","#15 Emma Vlasic faceoff won against #88 Sara Bustad",72,2,"15 Emma Vlasic   88 Sara Bustad","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Emma Vlasic",15,"Sara Bustad",88,NA,NA,10,37,"9:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",1837,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"10:37","9:23",268078
"Shot","ConnecticutCTW","11:22","#24 Sarah Hughson saved by #37 Mariah Fujimagari",73,2,"24 Sarah Hughson   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Hughson",24,"Mariah Fujimagari",37,NA,NA,11,22,"8:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",1882,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","11:22","8:38",268078
"Giveaway","ConnecticutCTW","11:51","#9 Kaycie Anderson giveaway to #8 Iveta Klimasova1 GvA1 TkA",74,2,"9 Kaycie Anderson   8 Iveta Klimasova","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Kaycie Anderson",9,"Iveta Klimasova",8,NA,NA,11,51,"8:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",1911,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"11:51","8:09",268078
"Shot","ConnecticutCTW","12:55","#16 Hanna Beattie saved by #37 Mariah Fujimagari",75,2,"16 Hanna Beattie   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Hanna Beattie",16,"Mariah Fujimagari",37,NA,NA,12,55,"7:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",1975,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","12:55","7:05",268078
"Shot BLK","BuffaloBUF","14:09","#88 Sara Bustad blocked by #6 Shannon Doyle1 Blk",76,2,"88 Sara Bustad   6 Shannon Doyle","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Sara Bustad",88,"Shannon Doyle",6,NA,NA,14,9,"5:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2049,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","14:09","5:51",268078
"Shot BLK","ConnecticutCTW","14:40","#21 Sarah Schwenzfeier blocked by #17 Cassidy MacPherson2 Blk",77,2,"21 Sarah Schwenzfeier   17 Cassidy MacPherson","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Cassidy MacPherson",17,NA,NA,14,40,"5:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2080,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","14:40","5:20",268078
"Shot","ConnecticutCTW","14:51","#21 Sarah Schwenzfeier saved by #37 Mariah Fujimagari",78,2,"21 Sarah Schwenzfeier   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Mariah Fujimagari",37,NA,NA,14,51,"5:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2091,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","14:51","5:09",268078
"Shot","BuffaloBUF","15:22","#3 Brooke Stacey saved by #31 Sonjia Shelly",79,2,"3 Brooke Stacey   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Brooke Stacey",3,"Sonjia Shelly",31,NA,NA,15,22,"4:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2122,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","15:22","4:38",268078
"Shot","ConnecticutCTW","17:10","#94 Grace Klienbach saved by #37 Mariah Fujimagari",80,2,"94 Grace Klienbach   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Grace Klienbach",94,"Mariah Fujimagari",37,NA,NA,17,10,"2:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2230,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","17:10","2:50",268078
"Faceoff","ConnecticutCTW","17:12","#21 Sarah Schwenzfeier faceoff won against #88 Sara Bustad",81,2,"21 Sarah Schwenzfeier   88 Sara Bustad","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Sara Bustad",88,NA,NA,17,12,"2:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2232,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"17:12","2:48",268078
"Shot BLK","ConnecticutCTW","17:24","#7 Jane Morrisette blocked by #4 Marie-Jo Pelletier1 Blk",82,2,"7 Jane Morrisette   4 Marie-Jo Pelletier","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Jane Morrisette",7,"Marie-Jo Pelletier",4,NA,NA,17,24,"2:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2244,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","17:24","2:36",268078
"Shot","ConnecticutCTW","17:28","#14 Elena Orlando saved by #37 Mariah Fujimagari",83,2,"14 Elena Orlo   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Elena Orlo",14,"Mariah Fujimagari",37,NA,NA,17,28,"2:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2248,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","17:28","2:32",268078
"Faceoff","ConnecticutCTW","17:34","#21 Sarah Schwenzfeier faceoff won against #88 Sara Bustad",84,2,"21 Sarah Schwenzfeier   88 Sara Bustad","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Sara Bustad",88,NA,NA,17,34,"2:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2254,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"17:34","2:26",268078
"Shot","ConnecticutCTW","17:42","#21 Sarah Schwenzfeier saved by #37 Mariah Fujimagari",85,2,"21 Sarah Schwenzfeier   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Mariah Fujimagari",37,NA,NA,17,42,"2:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2262,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","17:42","2:18",268078
"Shot","BuffaloBUF","18:39","#8 Iveta Klimasova saved by #31 Sonjia Shelly",86,2,"8 Iveta Klimasova   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Iveta Klimasova",8,"Sonjia Shelly",31,NA,NA,18,39,"1:21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2319,NA,1032,1152,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","18:39","1:21",268078
"Penalty","BuffaloBUF","19:03","#8 Iveta Klimasova Roughing Minor 2 minsPower Play",87,2,"8 Iveta Klimasova","Power Play",NA,NA,"Minor","Roughing","2 mins",1,"1 - 1 T","Iveta Klimasova",8,NA,NA,NA,NA,19,3,"0:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2343,120,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"19:03","0:57",268078
"Faceoff","BuffaloBUF","19:03","#21 Kim Brown faceoff won against #15 Emma Vlasic",88,2,"21 Kim Brown   15 Emma Vlasic","Power Play",NA,NA,NA,NA,NA,0,"1 - 1 T","Kim Brown",21,"Emma Vlasic",15,NA,NA,19,3,"0:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2343,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"19:03","0:57",268078
"Shot","ConnecticutCTW","19:56","#6 Shannon Doyle saved by #37 Mariah Fujimagari",89,2,"6 Shannon Doyle   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Shannon Doyle",6,"Mariah Fujimagari",37,NA,NA,19,56,"0:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2396,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","19:56","0:04",268078
