"event","team","time","description","event_no","period_id","desc","on_ice_situation","shot_type","shot_result","penalty_type","penalty_called","penalty_length","penalty","score","first_player","first_number","second_player","second_number","third_player","third_number","minute_start","second_start","clock","offensive_player_one","offensive_number_one","offensive_player_two","offensive_number_two","offensive_player_three","offensive_number_three","offensive_player_four","offensive_number_four","offensive_player_five","offensive_number_five","leader","away_goals","home_goals","sec_from_start","power_play_seconds","start_power_play","end_power_play","away_team","home_team","goalie_change","away_goalie","home_goalie","goalie_involved","time_elapsed","time_remaining","game_id"
"Shot","BuffaloBUF","02:19","#81 Erin Gehen saved by #31 Sonjia Shelly",90,3,"81 Erin Gehen   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Erin Gehen",81,"Sonjia Shelly",31,NA,NA,2,19,"17:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2539,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","02:19","17:41",268078
"Faceoff","ConnecticutCTW","02:20","#16 Hanna Beattie faceoff won against #22 Becki Bowering",91,3,"16 Hanna Beattie   22 Becki Bowering","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Hanna Beattie",16,"Becki Bowering",22,NA,NA,2,20,"17:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2540,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:20","17:40",268078
"Shot BLK","BuffaloBUF","02:56","#95 Taylor Accursi blocked by #6 Shannon Doyle2 Blk",92,3,"95 Taylor Accursi   6 Shannon Doyle","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Taylor Accursi",95,"Shannon Doyle",6,NA,NA,2,56,"17:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2576,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","02:56","17:04",268078
"Shot","ConnecticutCTW","03:54","#94 Grace Klienbach saved by #37 Mariah Fujimagari",93,3,"94 Grace Klienbach   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Grace Klienbach",94,"Mariah Fujimagari",37,NA,NA,3,54,"16:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2634,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","03:54","16:06",268078
"Shot BLK","BuffaloBUF","05:42","#95 Taylor Accursi blocked by #6 Shannon Doyle3 Blk",94,3,"95 Taylor Accursi   6 Shannon Doyle","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Taylor Accursi",95,"Shannon Doyle",6,NA,NA,5,42,"14:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2742,NA,2343,2463,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","05:42","14:18",268078
"Penalty","BuffaloBUF","05:49","#22 Becki Bowering Slashing against #12 Kendra BroadMinor 2 minsPower Play",95,3,"22 Becki Bowering   12 Kendra Broad","Power Play",NA,NA,"Minor","Slashing","2 mins",1,"1 - 1 T","Becki Bowering",22,"Kendra Broad",12,NA,NA,5,49,"14:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2749,120,2749,2869,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"05:49","14:11",268078
"Faceoff","BuffaloBUF","05:50","#21 Kim Brown faceoff won against #15 Emma Vlasic",96,3,"21 Kim Brown   15 Emma Vlasic","Power Play",NA,NA,NA,NA,NA,0,"1 - 1 T","Kim Brown",21,"Emma Vlasic",15,NA,NA,5,50,"14:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2750,NA,2749,2869,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"05:50","14:10",268078
"Penalty","BuffaloBUF","05:51","#21 Kim Brown Hooking Minor 2 minsPower Play",97,3,"21 Kim Brown","Power Play",NA,NA,"Minor","Hooking","2 mins",1,"1 - 1 T","Kim Brown",21,NA,NA,NA,NA,5,51,"14:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2751,120,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"05:51","14:09",268078
"Faceoff","BuffaloBUF","05:51","#15 Kandice Sheriff faceoff won against #15 Emma Vlasic",98,3,"15 Kice Sheriff   15 Emma Vlasic","Power Play",NA,NA,NA,NA,NA,0,"1 - 1 T","Kice Sheriff",15,"Emma Vlasic",15,NA,NA,5,51,"14:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2751,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"05:51","14:09",268078
"Shot","ConnecticutCTW","05:57","#7 Jane Morrisette saved by #37 Mariah Fujimagari",99,3,"7 Jane Morrisette   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Jane Morrisette",7,"Mariah Fujimagari",37,NA,NA,5,57,"14:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2757,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","05:57","14:03",268078
"Shot BLK","ConnecticutCTW","06:17","#6 Shannon Doyle blocked by #15 Kandice Sheriff2 Blk",100,3,"6 Shannon Doyle   15 Kice Sheriff","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Shannon Doyle",6,"Kice Sheriff",15,NA,NA,6,17,"13:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2777,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","06:17","13:43",268078
"Shot","ConnecticutCTW","06:45","#15 Emma Vlasic saved by #37 Mariah Fujimagari",101,3,"15 Emma Vlasic   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Emma Vlasic",15,"Mariah Fujimagari",37,NA,NA,6,45,"13:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2805,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","06:45","13:15",268078
"Faceoff","ConnecticutCTW","06:45","#21 Sarah Schwenzfeier faceoff won against #95 Taylor Accursi",102,3,"21 Sarah Schwenzfeier   95 Taylor Accursi","Power Play",NA,NA,NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Taylor Accursi",95,NA,NA,6,45,"13:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2805,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"06:45","13:15",268078
"Shot","ConnecticutCTW","07:00","#7 Jane Morrisette saved by #37 Mariah Fujimagari",103,3,"7 Jane Morrisette   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Jane Morrisette",7,"Mariah Fujimagari",37,NA,NA,7,0,"12:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2820,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","07:00","12:00",268078
"Shot","ConnecticutCTW","07:09","#21 Sarah Schwenzfeier saved by #37 Mariah Fujimagari",104,3,"21 Sarah Schwenzfeier   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Mariah Fujimagari",37,NA,NA,7,9,"12:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2829,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","07:09","12:51",268078
"Shot BLK","ConnecticutCTW","07:21","#9 Kaycie Anderson blocked by #81 Erin Gehen1 Blk",105,3,"9 Kaycie Anderson   81 Erin Gehen","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Kaycie Anderson",9,"Erin Gehen",81,NA,NA,7,21,"12:39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2841,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","07:21","12:39",268078
"Shot","ConnecticutCTW","07:24","#21 Sarah Schwenzfeier saved by #37 Mariah Fujimagari",106,3,"21 Sarah Schwenzfeier   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Mariah Fujimagari",37,NA,NA,7,24,"12:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2844,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","07:24","12:36",268078
"Faceoff","ConnecticutCTW","07:32","#15 Emma Vlasic faceoff won against #95 Taylor Accursi",107,3,"15 Emma Vlasic   95 Taylor Accursi","Power Play",NA,NA,NA,NA,NA,0,"1 - 1 T","Emma Vlasic",15,"Taylor Accursi",95,NA,NA,7,32,"12:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2852,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"07:32","12:28",268078
"Shot","ConnecticutCTW","07:41","#24 Sarah Hughson saved by #37 Mariah Fujimagari",108,3,"24 Sarah Hughson   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Hughson",24,"Mariah Fujimagari",37,NA,NA,7,41,"12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2861,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","07:41","12:19",268078
"Shot","ConnecticutCTW","07:53","#24 Sarah Hughson saved by #37 Mariah Fujimagari",109,3,"24 Sarah Hughson   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Sarah Hughson",24,"Mariah Fujimagari",37,NA,NA,7,53,"12:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2873,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","07:53","12:07",268078
"Shot BLK","BuffaloBUF","08:23","#11 Megan Delay blocked by #6 Shannon Doyle4 Blk",110,3,"11 Megan Delay   6 Shannon Doyle","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Megan Delay",11,"Shannon Doyle",6,NA,NA,8,23,"11:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2903,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","08:23","11:37",268078
"Giveaway","ConnecticutCTW","08:50","#15 Emma Vlasic giveaway to #8 Iveta Klimasova1 GvA2 TkA",111,3,"15 Emma Vlasic   8 Iveta Klimasova","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Emma Vlasic",15,"Iveta Klimasova",8,NA,NA,8,50,"11:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",2930,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"08:50","11:10",268078
"Giveaway","ConnecticutCTW","10:03","#16 Hanna Beattie giveaway to #23 Corinne Buie1 GvA3 TkA",112,3,"16 Hanna Beattie   23 Corinne Buie","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Hanna Beattie",16,"Corinne Buie",23,NA,NA,10,3,"9:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3003,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"10:03","9:57",268078
"Shot","ConnecticutCTW","10:47","#7 Jane Morrisette saved by #37 Mariah Fujimagari",113,3,"7 Jane Morrisette   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Jane Morrisette",7,"Mariah Fujimagari",37,NA,NA,10,47,"9:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3047,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","10:47","9:13",268078
"Faceoff","BuffaloBUF","10:49","#15 Kandice Sheriff faceoff won against #15 Emma Vlasic",114,3,"15 Kice Sheriff   15 Emma Vlasic","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Kice Sheriff",15,"Emma Vlasic",15,NA,NA,10,49,"9:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3049,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"10:49","9:11",268078
"Faceoff","BuffaloBUF","10:50","#15 Kandice Sheriff faceoff won against #24 Sarah Hughson",115,3,"15 Kice Sheriff   24 Sarah Hughson","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Kice Sheriff",15,"Sarah Hughson",24,NA,NA,10,50,"9:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3050,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"10:50","9:10",268078
"Shot","BuffaloBUF","11:15","#95 Taylor Accursi saved by #31 Sonjia Shelly",116,3,"95 Taylor Accursi   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Taylor Accursi",95,"Sonjia Shelly",31,NA,NA,11,15,"8:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3075,NA,2751,2871,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","11:15","8:45",268078
"Penalty","ConnecticutCTW","11:47","#94 Grace Klienbach Interference against #19 Ashley BirdsallMinor 2 minsPower Play",117,3,"94 Grace Klienbach   19 Ashley Birdsall","Power Play",NA,NA,"Minor","Interference","2 mins",1,"1 - 1 T","Grace Klienbach",94,"Ashley Birdsall",19,NA,NA,11,47,"8:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3107,120,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"11:47","8:13",268078
"Faceoff","ConnecticutCTW","11:51","#21 Sarah Schwenzfeier faceoff won against #22 Becki Bowering",118,3,"21 Sarah Schwenzfeier   22 Becki Bowering","Power Play",NA,NA,NA,NA,NA,0,"1 - 1 T","Sarah Schwenzfeier",21,"Becki Bowering",22,NA,NA,11,51,"8:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3111,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"11:51","8:09",268078
"Shot","BuffaloBUF","13:40","#11 Megan Delay saved by #31 Sonjia Shelly",119,3,"11 Megan Delay   31 Sonjia Shelly","Power Play",NA,"saved",NA,NA,NA,0,"1 - 1 T","Megan Delay",11,"Sonjia Shelly",31,NA,NA,13,40,"6:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3220,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","13:40","6:20",268078
"Shot BLK","BuffaloBUF","13:57","#8 Iveta Klimasova blocked by #6 Shannon Doyle5 Blk",120,3,"8 Iveta Klimasova   6 Shannon Doyle","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Iveta Klimasova",8,"Shannon Doyle",6,NA,NA,13,57,"6:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3237,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","13:57","6:03",268078
"Faceoff","BuffaloBUF","14:13","#88 Sara Bustad faceoff won against #21 Sarah Schwenzfeier",121,3,"88 Sara Bustad   21 Sarah Schwenzfeier","Even Strength",NA,NA,NA,NA,NA,0,"1 - 1 T","Sara Bustad",88,"Sarah Schwenzfeier",21,NA,NA,14,13,"5:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3253,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"14:13","5:47",268078
"Shot BLK","BuffaloBUF","15:34","#23 Corinne Buie blocked by #4 Taylor Marchin2 Blk",122,3,"23 Corinne Buie   4 Taylor Marchin","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Corinne Buie",23,"Taylor Marchin",4,NA,NA,15,34,"4:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3334,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","15:34","4:26",268078
"Shot BLK","BuffaloBUF","16:12","#4 Marie-Jo Pelletier blocked by #14 Elena Orlando2 Blk",123,3,"4 Marie-Jo Pelletier   14 Elena Orlo","Even Strength",NA,"blocked",NA,NA,NA,0,"1 - 1 T","Marie-Jo Pelletier",4,"Elena Orlo",14,NA,NA,16,12,"3:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3372,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","16:12","3:48",268078
"Shot","ConnecticutCTW","16:45","#6 Shannon Doyle saved by #37 Mariah Fujimagari",124,3,"6 Shannon Doyle   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 1 T","Shannon Doyle",6,"Mariah Fujimagari",37,NA,NA,16,45,"3:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","1","1 ",3405,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","16:45","3:15",268078
"Goal","BuffaloBUF","16:52","#3 Brooke Stacey from #19 Ashley Birdsall and #8 Iveta KlimasovaEven Strength2 - 1 BUF",125,3,"3 Brooke Stacey  19 Ashley Birdsall  8 Iveta Klimasova","Even Strength",NA,"made",NA,NA,NA,0,"2 - 1 BUF","Brooke Stacey",3,"Ashley Birdsall",19,"Iveta Klimasova",8,16,52,"3:08","Iveta Klimasova","8","Brooke Stacey","3","Ashley Birdsall","19","Cassidy MacPherson","17","Ana Orzechowski","12","BUF","2","1 ",3412,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","16:52","3:08",268078
"Faceoff","BuffaloBUF","16:53","#15 Kandice Sheriff faceoff won against #21 Sarah Schwenzfeier",127,3,"15 Kice Sheriff   21 Sarah Schwenzfeier","Even Strength",NA,NA,NA,NA,NA,0,"2 - 1 BUF","Kice Sheriff",15,"Sarah Schwenzfeier",21,NA,NA,16,53,"3:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3413,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"16:53","3:07",268078
"Shot","ConnecticutCTW","18:30","#24 Sarah Hughson saved by #37 Mariah Fujimagari",128,3,"24 Sarah Hughson   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"2 - 1 BUF","Sarah Hughson",24,"Mariah Fujimagari",37,NA,NA,18,30,"1:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3510,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","18:30","1:30",268078
"Timeout","ConnecticutCTW","18:40","",129,3,"","Even Strength",NA,NA,NA,NA,NA,0,"2 - 1 BUF",NA,NA,NA,NA,NA,NA,18,40,"1:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3520,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"18:40","1:20",268078
"Shot BLK","ConnecticutCTW","18:42","#6 Shannon Doyle blocked by #22 Becki Bowering1 Blk",130,3,"6 Shannon Doyle   22 Becki Bowering","Even Strength",NA,"blocked",NA,NA,NA,0,"2 - 1 BUF","Shannon Doyle",6,"Becki Bowering",22,NA,NA,18,42,"1:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3522,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","18:42","1:18",268078
"Shot","ConnecticutCTW","18:44","#6 Shannon Doyle saved by #37 Mariah Fujimagari",131,3,"6 Shannon Doyle   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"2 - 1 BUF","Shannon Doyle",6,"Mariah Fujimagari",37,NA,NA,18,44,"1:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3524,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","18:44","1:16",268078
"Faceoff","ConnecticutCTW","18:44","#15 Emma Vlasic faceoff won against #22 Becki Bowering",132,3,"15 Emma Vlasic   22 Becki Bowering","Even Strength",NA,NA,NA,NA,NA,0,"2 - 1 BUF","Emma Vlasic",15,"Becki Bowering",22,NA,NA,18,44,"1:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3524,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"18:44","1:16",268078
"Timeout","BuffaloBUF","18:47","",133,3,"","Even Strength",NA,NA,NA,NA,NA,0,"2 - 1 BUF",NA,NA,NA,NA,NA,NA,18,47,"1:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3527,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"18:47","1:13",268078
"Faceoff","BuffaloBUF","19:25","#95 Taylor Accursi faceoff won against #15 Emma Vlasic",135,3,"95 Taylor Accursi   15 Emma Vlasic","Even Strength",NA,NA,NA,NA,NA,0,"2 - 1 BUF","Taylor Accursi",95,"Emma Vlasic",15,NA,NA,19,25,"0:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","2","1 ",3565,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari",NA,NA,"19:25","0:35",268078
"Goal","BuffaloBUF","19:36","#23 Corinne Buie from #95 Taylor AccursiEven StrengthEmpty Net3 - 1 BUF",136,3,"23 Corinne Buie  95 Taylor Accursi","Even Strength",NA,"made",NA,NA,NA,0,"3 - 1 BUF","Corinne Buie",23,"Taylor Accursi",95,NA,NA,19,36,"0:24","Becki Bowering","22","Corinne Buie","23","Taylor Accursi","95","Lenka Curmova","5","Marie-Jo Pelletier","4","BUF","3","1 ",3576,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari",NA,NA,"19:36","0:24",268078
"Faceoff","BuffaloBUF","19:40","#12 Ana Orzechowski faceoff won against #21 Sarah Schwenzfeier",139,3,"12 Ana Orzechowski   21 Sarah Schwenzfeier","Even Strength",NA,NA,NA,NA,NA,0,"3 - 1 BUF","Ana Orzechowski",12,"Sarah Schwenzfeier",21,NA,NA,19,40,"0:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","3","1 ",3580,NA,3107,3227,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"19:40","0:20",268078
